Country,Oil 1995,Oil 1996,Oil 1997,Oil 1998,Oil 1999,Oil 2000,Oil 2001,Oil 2002,Oil 2003,Oil 2004,Oil 2005,Oil 2006,Oil 2007,Oil 2008,Oil 2009,Oil 2010,Oil 2011,Oil 2012,Oil 2013,Average Oil
United States,29.75,29.84,30.52,28.56,29.67,30.39,30.44,30.67,29.35,29.30,29.92,29.44,30.46,28.40,30.87,34.99,39.78,44.18,44.18,32.14
Canada,48.37,48.94,48.80,49.82,181.56,181.50,180.94,180.40,180.37,180.04,180.49,179.81,178.83,176.26,175.87,175.22,174.59,174.32,174.32,151.08
Mexico,48.80,48.47,47.82,21.64,21.52,20.19,18.77,17.20,16.04,14.80,13.67,12.85,12.19,11.87,11.87,11.69,11.39,11.42,11.08,20.17
Argentina,2.39,2.60,2.62,2.75,3.07,2.97,2.88,2.82,2.67,2.48,2.18,2.59,2.62,2.52,2.51,2.52,2.53,2.35,2.35,2.60
Brazil,6.22,6.68,7.11,7.36,8.15,8.46,8.49,9.80,10.60,11.24,11.77,12.18,12.62,12.80,12.88,14.25,15.05,15.31,15.59,10.87
Colombia,2.95,2.80,2.58,2.48,2.29,1.97,1.84,1.63,1.54,1.48,1.45,1.51,1.51,1.36,1.36,1.90,1.99,2.20,2.38,1.96
Ecuador,3.39,3.45,3.67,4.10,4.43,4.57,4.63,5.06,5.06,5.06,4.87,4.46,4.00,6.52,6.33,6.16,7.21,8.38,8.19,5.24
Peru,0.81,0.77,0.76,0.94,0.89,0.91,0.98,0.95,0.93,1.10,1.08,1.10,1.12,1.12,1.12,1.24,1.21,1.42,1.42,1.05
Trinidad & Tobago,0.66,0.72,0.71,0.74,0.82,0.85,0.96,1.13,0.89,0.81,0.80,0.79,0.87,0.83,0.83,0.83,0.83,0.83,0.83,0.83
Venezuela,66.33,72.67,74.93,76.11,76.85,76.85,77.68,77.31,77.23,79.73,80.01,87.32,99.38,172.32,211.17,296.50,297.57,297.57,298.35,136.63
Azerbaijan,0.00,0.00,0.00,1.18,1.18,1.18,1.18,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,4.67
Denmark,0.91,0.86,0.94,0.88,0.91,1.11,1.35,1.28,1.28,1.33,1.28,1.16,1.11,0.81,0.92,0.90,0.81,0.73,0.67,1.01
Italy,0.77,0.76,0.85,0.85,0.89,0.86,0.83,0.80,0.84,0.80,0.80,0.83,0.88,0.98,0.97,1.42,1.38,1.38,1.38,0.96
Kazakhstan,0.00,0.00,0.00,5.40,5.40,5.40,5.40,5.40,9.00,9.00,9.00,9.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,14.37
Norway,10.80,11.68,12.04,11.66,10.94,11.37,11.60,10.45,10.15,9.72,9.69,8.55,8.17,7.49,7.08,6.77,6.88,9.21,8.68,9.63
Romania,1.01,0.98,0.93,1.16,1.23,1.17,1.15,0.51,0.49,0.47,0.46,0.48,0.48,0.48,0.60,0.60,0.60,0.60,0.60,0.74
Russia,0.00,0.00,0.00,63.34,67.93,69.03,72.45,76.08,79.01,82.19,82.29,83.34,86.35,87.59,88.30,89.74,90.96,92.12,93.03,68.62
Turkmenistan,0.00,0.00,0.00,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.48
United Kingdom,4.54,4.99,5.18,5.14,4.99,4.72,4.54,4.46,4.28,4.00,3.87,3.59,3.39,3.06,2.84,2.81,3.10,3.04,3.04,3.98
Uzbekistan,0.00,0.00,0.00,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.50
Iran,93.70,92.60,92.60,93.70,93.10,99.53,99.08,130.69,133.25,132.74,137.49,138.40,138.22,137.62,137.01,151.17,154.58,157.00,157.00,124.71
Iraq,100.00,112.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,143.10,150.00,150.00,118.69
Kuwait,96.50,96.50,96.50,96.50,96.50,96.50,96.50,96.50,99.00,101.50,101.50,101.50,101.50,101.50,101.50,101.50,101.50,101.50,101.50,99.26
Oman,5.20,5.30,5.40,5.40,5.74,5.85,5.90,5.71,5.57,5.57,5.57,5.57,5.57,5.57,5.50,5.50,5.50,5.50,5.50,5.55
Qatar,3.70,3.70,12.50,13.49,13.10,16.87,16.84,27.60,27.02,26.86,27.91,27.44,27.32,26.83,25.91,24.68,23.90,25.23,25.06,20.84
Saudi Arabia,261.45,261.44,261.54,261.54,262.78,262.77,262.70,262.79,262.73,264.31,264.21,264.25,264.21,264.06,264.59,264.52,265.40,265.85,265.85,263.53
Syria,2.56,2.45,2.35,2.30,2.30,2.33,2.33,2.28,2.39,3.16,3.00,3.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.52
United Arab Emirates,98.10,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.80,97.82
Yemen,1.99,1.99,1.83,1.85,1.85,2.40,2.40,2.86,2.85,3.00,2.92,2.78,2.67,2.67,3.00,3.00,3.00,3.00,3.00,2.58
Algeria,9.98,10.80,11.20,11.31,11.31,11.31,11.31,11.31,11.80,11.80,12.27,12.27,12.20,12.20,12.20,12.20,12.20,12.20,12.20,11.69
Angola,3.13,3.69,3.90,4.03,5.05,5.97,6.50,8.90,8.80,9.03,9.03,9.03,9.03,9.04,9.50,9.50,9.06,12.67,12.67,7.82
Chad,0.00,0.00,0.00,0.00,0.00,0.90,0.90,0.90,0.90,0.90,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.95
Rep. of Congo (Brazzaville),1.35,1.60,1.62,1.70,1.70,1.65,1.57,1.51,1.51,1.51,1.51,1.60,1.60,1.60,1.60,1.60,1.60,1.60,1.60,1.58
Egypt,3.80,3.84,3.72,3.76,3.77,3.63,3.67,3.53,3.53,3.62,3.72,3.72,4.07,4.20,4.40,4.50,4.30,4.20,3.90,3.89
Equatorial Guinea,0.56,0.56,0.56,0.56,0.56,0.80,1.11,1.10,1.28,1.76,1.80,1.75,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.28
Gabon,1.47,2.80,2.67,2.57,2.57,2.42,2.40,2.37,2.29,2.19,2.15,2.15,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.21
Libya,29.50,29.50,29.50,29.50,29.50,36.00,36.00,36.00,39.13,39.13,41.46,41.46,43.66,44.27,46.42,47.10,48.01,48.47,48.47,39.11
Nigeria,20.83,20.83,20.83,22.50,29.00,29.00,31.51,34.35,35.26,35.88,36.22,37.20,37.20,37.20,37.20,37.20,37.20,37.14,37.14,32.30
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,3.50,0.37
Sudan,0.30,0.30,0.26,0.26,0.26,0.26,0.56,0.56,0.56,0.56,0.56,5.00,5.00,5.00,5.00,5.00,5.00,1.50,1.50,1.97
Tunisia,0.38,0.34,0.31,0.29,0.31,0.43,0.53,0.50,0.65,0.68,0.56,0.60,0.60,0.58,0.43,0.43,0.43,0.43,0.43,0.47
Australia,3.80,3.82,4.04,4.77,4.74,4.94,4.96,4.57,3.75,3.89,3.72,3.51,3.43,4.24,4.06,3.83,3.87,3.92,3.96,4.10
Brunei,1.12,1.09,1.06,1.02,1.30,1.23,1.16,1.10,1.05,1.12,1.11,1.20,1.08,1.08,1.10,1.10,1.10,1.10,1.10,1.12
China,16.36,16.44,17.02,17.42,15.11,15.19,15.41,15.51,15.48,15.53,15.59,15.61,15.49,15.61,15.86,17.30,17.80,18.08,18.08,16.26
India,5.51,5.49,5.63,5.39,4.97,5.29,5.51,5.58,5.73,5.57,5.92,5.69,5.46,5.80,5.82,5.83,5.70,5.72,5.71,5.60
Indonesia,4.98,4.73,4.87,5.10,5.20,5.12,5.10,4.72,4.73,4.30,4.19,4.37,3.99,3.75,4.30,4.23,3.74,3.74,3.74,4.47
Malaysia,5.20,4.96,4.98,4.65,5.03,4.53,4.46,4.54,4.84,5.16,5.25,5.36,5.46,5.52,3.57,3.74,3.74,3.67,3.67,4.65
Thailand,0.30,0.24,0.30,0.39,0.36,0.51,0.58,0.69,0.50,0.53,0.45,0.46,0.46,0.45,0.44,0.44,0.45,0.43,0.43,0.44
Vietnam,0.76,0.89,1.25,1.90,1.80,1.95,2.20,2.81,2.96,3.08,3.12,3.25,3.41,4.73,4.50,4.40,4.40,4.40,4.40,2.96
